6437	298
9883	164
5631	304
7816	218
1788	239
9304	104
3785	113
2891	257
5593	315
6136	95
4661	152
6286	219
6498	172
8851	118
226	235
5392	135
906	97
614	203
2023	127
8513	161
3463	276
4897	330
4951	110
8403	151
162	242
3820	325
4848	286
1878	153
5752	251
6249	197
7576	328
4941	93
950	156
5379	159
6421	137
8891	189
7055	241
7312	101
9739	251
490	83
5609	163
1518	233
2051	165
3412	151
5161	115
3267	307
2839	255
3527	114
8574	344
5232	220
1921	255
9943	157
8074	300
7757	250
9529	105
1047	221
248	101
1285	267
3992	126
8552	223
7228	200
4902	156
2615	281
636	154
5820	293
1463	109
211	203
6566	148
7004	230
458	94
3476	177
6127	264
1752	278
513	131
944	300
4847	210
514	82
4747	178
9753	259
8524	152
4916	133
9648	275
3931	229
8162	292
1374	173
5010	331
5146	99
2	256
3653	166
9976	159
363	288
2629	83
6800	146
2242	160
8290	265
8038	124
9282	280
3811	246
5283	161
1516	287
677	132
4354	293
6239	131
6069	210
7779	227
126	85
4285	193
6502	212
8721	220
3334	168
5581	164
766	277
8658	151
2057	321
5619	299
1858	220
7036	326
9217	271
7416	142
2535	315
1505	100
7173	318
9258	94
9721	288
5422	184
9428	291
4353	107
9022	124
9705	303
6710	187
4363	261
1655	313
4809	125
7844	225
7052	383
6684	230
8433	172
3753	250
6212	133
2684	185
9238	256
232	339
9114	267
3984	198
8416	212
1908	270
9333	261
8680	324
6243	312
256	85
7001	124
4511	259
3700	262
5957	241
7282	221
2215	260
6796	309
9169	146
1080	132
6464	135
8583	169
5987	262
8752	180
2121	266
6307	207
7545	194
7713	293
4410	117
6909	300
8790	227
8047	225
5836	334
3636	279
3834	93
7144	276
4725	163
8930	127
5613	128
7437	114
9921	182
3587	278
7660	164
2064	303
2119	288
3692	263
2782	117
7344	94
2814	286
975	203
3250	179
8179	169
7175	251
1748	208
4906	182
4252	121
2209	180
2549	367
4500	355
7180	298
4046	218
2734	244
1318	304
727	223
4668	284
3420	136
9571	290
4058	247
1968	83
7602	148
5579	88
6052	117
3449	242
8315	280
1975	336
5912	330
5736	332
6215	219
7100	98
2165	197
8540	260
7924	96
1812	110
9816	288
1362	310
9880	159
279	183
4812	269
8273	101
184	166
3759	288
3321	226
723	155
1395	219
8492	325
2044	224
659	271
3125	165
9842	160
5475	237
1759	299
8935	139
2498	298
8478	182
6164	137
5649	224
5322	139
4275	188
7255	244
8297	100
3758	115
473	220
5401	212
4144	317
8606	147
2216	273
8753	276
5441	118
4761	237
1607	236
2872	106
8560	234
5204	149
4154	164
4518	127
5844	116
2480	122
1797	99
1551	79
8581	130
2938	161
2433	234
5147	169
6911	153
8482	209
9293	147
9850	226
3311	138
1525	88
3891	265
9780	191
9451	181
1307	111
4294	210
5598	173
3874	289
472	349
5683	155
6584	189
2618	225
6608	186
740	322
8371	210
8355	314
5189	82
7127	177
5203	174
3525	209
5929	89
8054	360
929	323
8616	183
3410	310
5703	269
4686	302
8141	373
791	174
5582	103
9469	200
2036	172
602	209
1162	161
9856	295
6964	90
7880	230
4876	326
6687	331
7195	185
8992	112
511	205
9951	167
8814	197
504	281
5757	229
6616	166
7374	78
7896	160
676	208
8557	80
9820	193
5108	271
7225	171
5240	330
668	262
5883	275
3320	196
1674	152
756	262
190	375
882	195
2281	286
4578	238
1522	184
5523	118
7429	187
3346	293
4506	201
3455	324
616	274
3336	206
5162	307
8423	163
5792	225
6110	281
3104	179
1046	261
5685	180
967	215
2001	87
2518	292
6815	255
9423	130
1184	231
5159	140
2289	270
515	168
7513	249
6758	120
689	184
7860	280
7971	319
9165	359
2764	295
1776	139
9230	121
9665	276
7692	248
5431	233
3062	112
6027	116
1823	189
1861	187
5156	149
5990	357
9495	104
8562	122
9827	198
6567	140
